case,pending,round,operations,allocations,allocated_bytes,elapsed_ns,transcript_hash
mixture_noop,64,1,100,1400,202000,318700,17339656973945917733
mixture_noop,64,2,100,1400,202000,347900,17339656973945917733
mixture_noop,64,3,100,1400,202000,576100,17339656973945917733
turf_noop,64,1,100,1500,208400,756100,17339656973945917733
turf_noop,64,2,100,1500,208400,596300,17339656973945917733
turf_noop,64,3,100,1500,208400,428900,17339656973945917733
unrelated_replacement,64,1,100,1500,216400,426100,17339656973945917733
unrelated_replacement,64,2,100,1500,216400,321300,17339656973945917733
unrelated_replacement,64,3,100,1500,216400,327100,17339656973945917733
mixture_noop,512,1,100,5800,1383600,5589100,15567720471463502425
mixture_noop,512,2,100,5800,1383600,4883500,15567720471463502425
mixture_noop,512,3,100,5800,1383600,4874400,15567720471463502425
turf_noop,512,1,100,5900,1390000,4692300,15567720471463502425
turf_noop,512,2,100,5900,1390000,4746200,15567720471463502425
turf_noop,512,3,100,5900,1390000,5021400,15567720471463502425
unrelated_replacement,512,1,100,5900,1398000,4979100,15567720471463502425
unrelated_replacement,512,2,100,5900,1398000,6176700,15567720471463502425
unrelated_replacement,512,3,100,5900,1398000,7417100,15567720471463502425
mixture_noop,2048,1,100,20200,7070800,24094900,12897863606785426021
mixture_noop,2048,2,100,20200,7070800,24400500,12897863606785426021
mixture_noop,2048,3,100,20200,7070800,25664500,12897863606785426021
turf_noop,2048,1,100,20300,7077200,22842400,12897863606785426021
turf_noop,2048,2,100,20300,7077200,23499300,12897863606785426021
turf_noop,2048,3,100,20300,7077200,23164000,12897863606785426021
unrelated_replacement,2048,1,100,20300,7085200,29015000,12897863606785426021
unrelated_replacement,2048,2,100,20300,7085200,26200100,12897863606785426021
unrelated_replacement,2048,3,100,20300,7085200,23741900,12897863606785426021
