case,pending,round,operations,allocations,allocated_bytes,elapsed_ns,transcript_hash
mixture_noop,64,1,100,200,20400,41100,17339656973945917733
mixture_noop,64,2,100,200,20400,34400,17339656973945917733
mixture_noop,64,3,100,200,20400,31800,17339656973945917733
turf_noop,64,1,100,300,26800,50300,17339656973945917733
turf_noop,64,2,100,300,26800,56500,17339656973945917733
turf_noop,64,3,100,300,26800,49800,17339656973945917733
unrelated_replacement,64,1,100,300,34800,53200,17339656973945917733
unrelated_replacement,64,2,100,300,34800,43900,17339656973945917733
unrelated_replacement,64,3,100,300,34800,37100,17339656973945917733
mixture_noop,512,1,100,200,20400,14900,15567720471463502425
mixture_noop,512,2,100,200,20400,15300,15567720471463502425
mixture_noop,512,3,100,200,20400,15200,15567720471463502425
turf_noop,512,1,100,300,26800,26700,15567720471463502425
turf_noop,512,2,100,300,26800,26500,15567720471463502425
turf_noop,512,3,100,300,26800,54200,15567720471463502425
unrelated_replacement,512,1,100,300,34800,141300,15567720471463502425
unrelated_replacement,512,2,100,300,34800,108600,15567720471463502425
unrelated_replacement,512,3,100,300,34800,58900,15567720471463502425
mixture_noop,2048,1,100,200,20400,15000,12897863606785426021
mixture_noop,2048,2,100,200,20400,15100,12897863606785426021
mixture_noop,2048,3,100,200,20400,15300,12897863606785426021
turf_noop,2048,1,100,300,26800,49700,12897863606785426021
turf_noop,2048,2,100,300,26800,26500,12897863606785426021
turf_noop,2048,3,100,300,26800,55600,12897863606785426021
unrelated_replacement,2048,1,100,300,34800,164700,12897863606785426021
unrelated_replacement,2048,2,100,300,34800,297100,12897863606785426021
unrelated_replacement,2048,3,100,300,34800,162000,12897863606785426021
