case,turfs,round,phase,allocations,allocated_bytes,elapsed_ns,state_hash,consumer_work,consumer_chunks
initial_read,1000,1,mutation,0,0,300,1129b0c46ed2f455,0,0
initial_read,1000,1,consumer,9,16352,39500,1129b0c46ed2f455,0,0
initial_read,1000,2,mutation,0,0,300,1129b0c46ed2f455,0,0
initial_read,1000,2,consumer,9,16352,33000,1129b0c46ed2f455,0,0
initial_read,1000,3,mutation,0,0,200,1129b0c46ed2f455,0,0
initial_read,1000,3,consumer,9,16352,36300,1129b0c46ed2f455,0,0
add16,1000,1,mutation,2,16304,22400,d97b5e50d8ee50d5,0,0
add16,1000,1,consumer,9,16352,32000,d97b5e50d8ee50d5,0,0
add16,1000,2,mutation,2,16304,10100,d97b5e50d8ee50d5,0,0
add16,1000,2,consumer,9,16352,24900,d97b5e50d8ee50d5,0,0
add16,1000,3,mutation,2,16304,8700,d97b5e50d8ee50d5,0,0
add16,1000,3,consumer,9,16352,17200,d97b5e50d8ee50d5,0,0
remove16,1000,1,mutation,0,0,700,9d98030774b60741,0,0
remove16,1000,1,consumer,9,16352,16100,9d98030774b60741,0,0
remove16,1000,2,mutation,0,0,600,9d98030774b60741,0,0
remove16,1000,2,consumer,9,16352,16100,9d98030774b60741,0,0
remove16,1000,3,mutation,0,0,600,9d98030774b60741,0,0
remove16,1000,3,consumer,9,16352,16000,9d98030774b60741,0,0
remove75pct,1000,1,mutation,0,0,26800,2d4f584263761044,0,0
remove75pct,1000,1,consumer,7,4064,4700,2d4f584263761044,0,0
remove75pct,1000,2,mutation,0,0,26800,2d4f584263761044,0,0
remove75pct,1000,2,consumer,7,4064,5500,2d4f584263761044,0,0
remove75pct,1000,3,mutation,0,0,25400,2d4f584263761044,0,0
remove75pct,1000,3,consumer,7,4064,5100,2d4f584263761044,0,0
remove_readd16,1000,1,mutation,2,16304,3700,72e3063e7b846025,0,0
remove_readd16,1000,1,consumer,9,16352,21100,72e3063e7b846025,0,0
remove_readd16,1000,2,mutation,2,16304,9400,72e3063e7b846025,0,0
remove_readd16,1000,2,consumer,9,16352,16400,72e3063e7b846025,0,0
remove_readd16,1000,3,mutation,2,16304,10500,72e3063e7b846025,0,0
remove_readd16,1000,3,consumer,9,16352,18100,72e3063e7b846025,0,0
remove_burst64,1000,1,mutation,0,0,26200,d67e2802f53d4755,0,0
remove_burst64,1000,1,consumer,8,8160,8600,d67e2802f53d4755,0,0
remove_burst64,1000,2,mutation,0,0,37000,d67e2802f53d4755,0,0
remove_burst64,1000,2,consumer,8,8160,14500,d67e2802f53d4755,0,0
remove_burst64,1000,3,mutation,0,0,39300,d67e2802f53d4755,0,0
remove_burst64,1000,3,consumer,8,8160,16700,d67e2802f53d4755,0,0
first_chunk,1000,1,mutation,0,0,500,9d98030774b60741,1,1
first_chunk,1000,1,consumer,10,16376,41900,9d98030774b60741,1,1
first_chunk,1000,2,mutation,0,0,2200,9d98030774b60741,1,1
first_chunk,1000,2,consumer,10,16376,74500,9d98030774b60741,1,1
first_chunk,1000,3,mutation,0,0,1800,9d98030774b60741,1,1
first_chunk,1000,3,consumer,10,16376,18700,9d98030774b60741,1,1
full_stage,1000,1,mutation,0,0,700,9d98030774b60741,984,16
full_stage,1000,1,consumer,11,16400,47500,9d98030774b60741,984,16
full_stage,1000,2,mutation,0,0,500,9d98030774b60741,984,16
full_stage,1000,2,consumer,11,16400,30700,9d98030774b60741,984,16
full_stage,1000,3,mutation,0,0,600,9d98030774b60741,984,16
full_stage,1000,3,consumer,11,16400,31000,9d98030774b60741,984,16
burst_first_chunk,1000,1,mutation,0,0,43000,d67e2802f53d4755,1,1
burst_first_chunk,1000,1,consumer,9,8184,15100,d67e2802f53d4755,1,1
burst_first_chunk,1000,2,mutation,0,0,34700,d67e2802f53d4755,1,1
burst_first_chunk,1000,2,consumer,9,8184,10700,d67e2802f53d4755,1,1
burst_first_chunk,1000,3,mutation,0,0,27100,d67e2802f53d4755,1,1
burst_first_chunk,1000,3,consumer,9,8184,9200,d67e2802f53d4755,1,1
burst_full_stage,1000,1,mutation,0,0,26800,d67e2802f53d4755,488,8
burst_full_stage,1000,1,consumer,10,8208,17100,d67e2802f53d4755,488,8
burst_full_stage,1000,2,mutation,0,0,31400,d67e2802f53d4755,488,8
burst_full_stage,1000,2,consumer,10,8208,23200,d67e2802f53d4755,488,8
burst_full_stage,1000,3,mutation,0,0,26600,d67e2802f53d4755,488,8
burst_full_stage,1000,3,consumer,10,8208,17100,d67e2802f53d4755,488,8
initial_read,10000,1,mutation,0,0,600,3cd5c2405fa90e45,0,0
initial_read,10000,1,consumer,13,262112,451100,3cd5c2405fa90e45,0,0
initial_read,10000,2,mutation,0,0,400,3cd5c2405fa90e45,0,0
initial_read,10000,2,consumer,13,262112,312100,3cd5c2405fa90e45,0,0
initial_read,10000,3,mutation,0,0,500,3cd5c2405fa90e45,0,0
initial_read,10000,3,consumer,13,262112,298200,3cd5c2405fa90e45,0,0
add16,10000,1,mutation,2,160304,7700,28783d8fb5ad4865,0,0
add16,10000,1,consumer,13,262112,305500,28783d8fb5ad4865,0,0
add16,10000,2,mutation,2,160304,8200,28783d8fb5ad4865,0,0
add16,10000,2,consumer,13,262112,201400,28783d8fb5ad4865,0,0
add16,10000,3,mutation,2,160304,8400,28783d8fb5ad4865,0,0
add16,10000,3,consumer,13,262112,459300,28783d8fb5ad4865,0,0
remove16,10000,1,mutation,0,0,1400,7e453818ec292d45,0,0
remove16,10000,1,consumer,13,262112,191700,7e453818ec292d45,0,0
remove16,10000,2,mutation,0,0,1100,7e453818ec292d45,0,0
remove16,10000,2,consumer,13,262112,183100,7e453818ec292d45,0,0
remove16,10000,3,mutation,0,0,1900,7e453818ec292d45,0,0
remove16,10000,3,consumer,13,262112,201600,7e453818ec292d45,0,0
remove75pct,10000,1,mutation,0,0,321400,b2a97a50d7147839,0,0
remove75pct,10000,1,consumer,11,65504,49000,b2a97a50d7147839,0,0
remove75pct,10000,2,mutation,0,0,315000,b2a97a50d7147839,0,0
remove75pct,10000,2,consumer,11,65504,164300,b2a97a50d7147839,0,0
remove75pct,10000,3,mutation,0,0,327000,b2a97a50d7147839,0,0
remove75pct,10000,3,consumer,11,65504,50400,b2a97a50d7147839,0,0
remove_readd16,10000,1,mutation,2,160304,6700,908226242d2f1705,0,0
remove_readd16,10000,1,consumer,13,262112,187800,908226242d2f1705,0,0
remove_readd16,10000,2,mutation,2,160304,9300,908226242d2f1705,0,0
remove_readd16,10000,2,consumer,13,262112,181900,908226242d2f1705,0,0
remove_readd16,10000,3,mutation,2,160304,8500,908226242d2f1705,0,0
remove_readd16,10000,3,consumer,13,262112,192400,908226242d2f1705,0,0
remove_burst64,10000,1,mutation,0,0,11500,93f3108e56126145,0,0
remove_burst64,10000,1,consumer,13,262112,184200,93f3108e56126145,0,0
remove_burst64,10000,2,mutation,0,0,14900,93f3108e56126145,0,0
remove_burst64,10000,2,consumer,13,262112,237800,93f3108e56126145,0,0
remove_burst64,10000,3,mutation,0,0,13000,93f3108e56126145,0,0
remove_burst64,10000,3,consumer,13,262112,183500,93f3108e56126145,0,0
first_chunk,10000,1,mutation,0,0,1200,7e453818ec292d45,1,1
first_chunk,10000,1,consumer,14,262136,195600,7e453818ec292d45,1,1
first_chunk,10000,2,mutation,0,0,2800,7e453818ec292d45,1,1
first_chunk,10000,2,consumer,14,262136,349900,7e453818ec292d45,1,1
first_chunk,10000,3,mutation,0,0,2100,7e453818ec292d45,1,1
first_chunk,10000,3,consumer,14,262136,368500,7e453818ec292d45,1,1
full_stage,10000,1,mutation,0,0,2100,7e453818ec292d45,9984,156
full_stage,10000,1,consumer,15,262160,645500,7e453818ec292d45,9984,156
full_stage,10000,2,mutation,0,0,2300,7e453818ec292d45,9984,156
full_stage,10000,2,consumer,15,262160,674400,7e453818ec292d45,9984,156
full_stage,10000,3,mutation,0,0,2100,7e453818ec292d45,9984,156
full_stage,10000,3,consumer,15,262160,391300,7e453818ec292d45,9984,156
burst_first_chunk,10000,1,mutation,0,0,11600,93f3108e56126145,1,1
burst_first_chunk,10000,1,consumer,14,262136,209000,93f3108e56126145,1,1
burst_first_chunk,10000,2,mutation,0,0,19500,93f3108e56126145,1,1
burst_first_chunk,10000,2,consumer,14,262136,306200,93f3108e56126145,1,1
burst_first_chunk,10000,3,mutation,0,0,20300,93f3108e56126145,1,1
burst_first_chunk,10000,3,consumer,14,262136,338000,93f3108e56126145,1,1
burst_full_stage,10000,1,mutation,0,0,11800,93f3108e56126145,9488,149
burst_full_stage,10000,1,consumer,15,262160,383500,93f3108e56126145,9488,149
burst_full_stage,10000,2,mutation,0,0,12100,93f3108e56126145,9488,149
burst_full_stage,10000,2,consumer,15,262160,388900,93f3108e56126145,9488,149
burst_full_stage,10000,3,mutation,0,0,12500,93f3108e56126145,9488,149
burst_full_stage,10000,3,consumer,15,262160,437400,93f3108e56126145,9488,149
initial_read,100000,1,mutation,0,0,300,da18432f50bac8a5,0,0
initial_read,100000,1,consumer,16,2097120,10990400,da18432f50bac8a5,0,0
initial_read,100000,2,mutation,0,0,100,da18432f50bac8a5,0,0
initial_read,100000,2,consumer,16,2097120,10195400,da18432f50bac8a5,0,0
initial_read,100000,3,mutation,0,0,300,da18432f50bac8a5,0,0
initial_read,100000,3,consumer,16,2097120,10917500,da18432f50bac8a5,0,0
add16,100000,1,mutation,2,1600304,665300,9a872bd14ec26dc5,0,0
add16,100000,1,consumer,16,2097120,9860500,9a872bd14ec26dc5,0,0
add16,100000,2,mutation,2,1600304,438800,9a872bd14ec26dc5,0,0
add16,100000,2,consumer,16,2097120,8015100,9a872bd14ec26dc5,0,0
add16,100000,3,mutation,2,1600304,297900,9a872bd14ec26dc5,0,0
add16,100000,3,consumer,16,2097120,6481100,9a872bd14ec26dc5,0,0
remove16,100000,1,mutation,0,0,90000,3521712e2f9b2245,0,0
remove16,100000,1,consumer,16,2097120,5138200,3521712e2f9b2245,0,0
remove16,100000,2,mutation,0,0,81200,3521712e2f9b2245,0,0
remove16,100000,2,consumer,16,2097120,7064400,3521712e2f9b2245,0,0
remove16,100000,3,mutation,0,0,158600,3521712e2f9b2245,0,0
remove16,100000,3,consumer,16,2097120,4030200,3521712e2f9b2245,0,0
remove75pct,100000,1,mutation,0,0,6889400,1f60c627f7a3d805,0,0
remove75pct,100000,1,consumer,14,524256,1999300,1f60c627f7a3d805,0,0
remove75pct,100000,2,mutation,0,0,10157300,1f60c627f7a3d805,0,0
remove75pct,100000,2,consumer,14,524256,2904100,1f60c627f7a3d805,0,0
remove75pct,100000,3,mutation,0,0,7896500,1f60c627f7a3d805,0,0
remove75pct,100000,3,consumer,14,524256,1077800,1f60c627f7a3d805,0,0
remove_readd16,100000,1,mutation,2,1600304,510000,ab919b3f5221cba5,0,0
remove_readd16,100000,1,consumer,16,2097120,11400900,ab919b3f5221cba5,0,0
remove_readd16,100000,2,mutation,2,1600304,309000,ab919b3f5221cba5,0,0
remove_readd16,100000,2,consumer,16,2097120,9408100,ab919b3f5221cba5,0,0
remove_readd16,100000,3,mutation,2,1600304,474400,ab919b3f5221cba5,0,0
remove_readd16,100000,3,consumer,16,2097120,4477100,ab919b3f5221cba5,0,0
remove_burst64,100000,1,mutation,0,0,175000,47a1e818b41a1ba5,0,0
remove_burst64,100000,1,consumer,16,2097120,5467600,47a1e818b41a1ba5,0,0
remove_burst64,100000,2,mutation,0,0,141600,47a1e818b41a1ba5,0,0
remove_burst64,100000,2,consumer,16,2097120,6586900,47a1e818b41a1ba5,0,0
remove_burst64,100000,3,mutation,0,0,116000,47a1e818b41a1ba5,0,0
remove_burst64,100000,3,consumer,16,2097120,5900900,47a1e818b41a1ba5,0,0
first_chunk,100000,1,mutation,0,0,186900,3521712e2f9b2245,1,1
first_chunk,100000,1,consumer,17,2097144,12424200,3521712e2f9b2245,1,1
first_chunk,100000,2,mutation,0,0,152100,3521712e2f9b2245,1,1
first_chunk,100000,2,consumer,17,2097144,5223200,3521712e2f9b2245,1,1
first_chunk,100000,3,mutation,0,0,96700,3521712e2f9b2245,1,1
first_chunk,100000,3,consumer,17,2097144,6173900,3521712e2f9b2245,1,1
full_stage,100000,1,mutation,0,0,149600,3521712e2f9b2245,99984,1563
full_stage,100000,1,consumer,18,2097168,11443900,3521712e2f9b2245,99984,1563
full_stage,100000,2,mutation,0,0,77300,3521712e2f9b2245,99984,1563
full_stage,100000,2,consumer,18,2097168,6965500,3521712e2f9b2245,99984,1563
full_stage,100000,3,mutation,0,0,111500,3521712e2f9b2245,99984,1563
full_stage,100000,3,consumer,18,2097168,9825700,3521712e2f9b2245,99984,1563
burst_first_chunk,100000,1,mutation,0,0,99200,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,1,consumer,17,2097144,4154800,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,2,mutation,0,0,137100,47a1e818b41a1ba5,1,1
burst_first_chunk,100000,2,consumer,17,2097144,7376300,47a1e818b41a1ba5,1,1
