case,turfs,round,phase,allocations,allocated_bytes,elapsed_ns,state_hash,consumer_work,consumer_chunks
initial_read,1000,1,mutation,0,0,100,1129b0c46ed2f455,0,0
initial_read,1000,1,consumer,0,0,0,1129b0c46ed2f455,0,0
initial_read,1000,2,mutation,0,0,0,1129b0c46ed2f455,0,0
initial_read,1000,2,consumer,0,0,0,1129b0c46ed2f455,0,0
initial_read,1000,3,mutation,0,0,0,1129b0c46ed2f455,0,0
initial_read,1000,3,consumer,0,0,100,1129b0c46ed2f455,0,0
add16,1000,1,mutation,2,16304,6200,d97b5e50d8ee50d5,0,0
add16,1000,1,consumer,0,0,100,d97b5e50d8ee50d5,0,0
add16,1000,2,mutation,2,16304,5800,d97b5e50d8ee50d5,0,0
add16,1000,2,consumer,0,0,0,d97b5e50d8ee50d5,0,0
add16,1000,3,mutation,2,16304,5500,d97b5e50d8ee50d5,0,0
add16,1000,3,consumer,0,0,100,d97b5e50d8ee50d5,0,0
remove16,1000,1,mutation,0,0,400,9d98030774b60741,0,0
remove16,1000,1,consumer,1,7872,15700,9d98030774b60741,0,0
remove16,1000,2,mutation,0,0,300,9d98030774b60741,0,0
remove16,1000,2,consumer,1,7872,15400,9d98030774b60741,0,0
remove16,1000,3,mutation,0,0,300,9d98030774b60741,0,0
remove16,1000,3,consumer,1,7872,15800,9d98030774b60741,0,0
remove75pct,1000,1,mutation,0,0,24800,2d4f584263761044,0,0
remove75pct,1000,1,consumer,0,0,100,2d4f584263761044,0,0
remove75pct,1000,2,mutation,0,0,31700,2d4f584263761044,0,0
remove75pct,1000,2,consumer,0,0,0,2d4f584263761044,0,0
remove75pct,1000,3,mutation,0,0,32500,2d4f584263761044,0,0
remove75pct,1000,3,consumer,0,0,0,2d4f584263761044,0,0
remove_readd16,1000,1,mutation,2,16304,4100,72e3063e7b846025,0,0
remove_readd16,1000,1,consumer,1,8000,22300,72e3063e7b846025,0,0
remove_readd16,1000,2,mutation,2,16304,7700,72e3063e7b846025,0,0
remove_readd16,1000,2,consumer,1,8000,19000,72e3063e7b846025,0,0
remove_readd16,1000,3,mutation,2,16304,10600,72e3063e7b846025,0,0
remove_readd16,1000,3,consumer,1,8000,19300,72e3063e7b846025,0,0
remove_burst64,1000,1,mutation,0,0,31700,d67e2802f53d4755,0,0
remove_burst64,1000,1,consumer,1,3904,9300,d67e2802f53d4755,0,0
remove_burst64,1000,2,mutation,0,0,32800,d67e2802f53d4755,0,0
remove_burst64,1000,2,consumer,1,3904,10100,d67e2802f53d4755,0,0
remove_burst64,1000,3,mutation,0,0,22700,d67e2802f53d4755,0,0
remove_burst64,1000,3,consumer,1,3904,7900,d67e2802f53d4755,0,0
first_chunk,1000,1,mutation,0,0,300,9d98030774b60741,1,1
first_chunk,1000,1,consumer,1,24,19600,9d98030774b60741,1,1
