case,turfs,round,allocations,allocated_bytes,elapsed_ns,revision_delta,state_hash
heat_reregister,1000,1,1167,66368,276900,2998,17890357648319794085
heat_reregister,1000,2,1167,66368,326000,2998,17890357648319794085
heat_reregister,1000,3,1167,66368,259200,2998,17890357648319794085
gas_reregister,1000,1,2167,138368,502900,2998,13457072140787049777
gas_reregister,1000,2,2167,138368,520400,2998,13457072140787049777
gas_reregister,1000,3,2167,138368,502100,2998,13457072140787049777
gas_clear_absent_heat,1000,1,1000,48000,154400,2998,13457072140787049777
gas_clear_absent_heat,1000,2,1000,48000,173200,2998,13457072140787049777
gas_clear_absent_heat,1000,3,1000,48000,154300,2998,13457072140787049777
heat_reregister,10000,1,11666,662720,2994600,29998,8036830049671501861
heat_reregister,10000,2,11666,662720,3064800,29998,8036830049671501861
heat_reregister,10000,3,11666,662720,3662700,29998,8036830049671501861
gas_reregister,10000,1,21671,1384560,7023400,29998,3392999064502362973
gas_reregister,10000,2,21671,1384560,7308600,29998,3392999064502362973
gas_reregister,10000,3,21671,1384560,6341300,29998,3392999064502362973
gas_clear_absent_heat,10000,1,10000,480000,1606900,29998,3392999064502362973
gas_clear_absent_heat,10000,2,10000,480000,1853300,29998,3392999064502362973
gas_clear_absent_heat,10000,3,10000,480000,1586000,29998,3392999064502362973
heat_reregister,100000,1,116666,6628352,32919300,299998,17576604964667110693
heat_reregister,100000,2,116666,6628352,35671100,299998,17576604964667110693
heat_reregister,100000,3,116666,6628352,32389600,299998,17576604964667110693
gas_reregister,100000,1,216666,13828352,68872500,299998,721308104706882717
gas_reregister,100000,2,216666,13828352,62763800,299998,721308104706882717
gas_reregister,100000,3,216666,13828352,66777400,299998,721308104706882717
gas_clear_absent_heat,100000,1,100000,4800000,19488500,299998,721308104706882717
gas_clear_absent_heat,100000,2,100000,4800000,20414000,299998,721308104706882717
gas_clear_absent_heat,100000,3,100000,4800000,20495400,299998,721308104706882717
