case,turfs,round,allocations,allocated_bytes,elapsed_ns,revision_delta,state_hash
heat_reregister,1000,1,167,34368,232300,0,17890357648319794085
heat_reregister,1000,2,167,34368,170500,0,17890357648319794085
heat_reregister,1000,3,167,34368,161000,0,17890357648319794085
gas_reregister,1000,1,1167,90368,572800,0,13457072140787049777
gas_reregister,1000,2,1167,90368,536600,0,13457072140787049777
gas_reregister,1000,3,1167,90368,768600,0,13457072140787049777
gas_clear_absent_heat,1000,1,0,0,53200,0,13457072140787049777
gas_clear_absent_heat,1000,2,0,0,49700,0,13457072140787049777
gas_clear_absent_heat,1000,3,0,0,28300,0,13457072140787049777
heat_reregister,10000,1,1666,342720,2115700,0,8036830049671501861
heat_reregister,10000,2,1666,342720,2811100,0,8036830049671501861
heat_reregister,10000,3,1666,342720,3263000,0,8036830049671501861
gas_reregister,10000,1,11671,904560,9291200,0,3392999064502362973
gas_reregister,10000,2,11671,904560,8068100,0,3392999064502362973
gas_reregister,10000,3,11671,904560,6180800,0,3392999064502362973
gas_clear_absent_heat,10000,1,0,0,402600,0,3392999064502362973
gas_clear_absent_heat,10000,2,0,0,946600,0,3392999064502362973
gas_clear_absent_heat,10000,3,0,0,356100,0,3392999064502362973
heat_reregister,100000,1,16666,3428352,26790400,0,17576604964667110693
heat_reregister,100000,2,16666,3428352,22302400,0,17576604964667110693
heat_reregister,100000,3,16666,3428352,30201700,0,17576604964667110693
gas_reregister,100000,1,116666,9028352,50478400,0,721308104706882717
gas_reregister,100000,2,116666,9028352,63439600,0,721308104706882717
gas_reregister,100000,3,116666,9028352,57442100,0,721308104706882717
gas_clear_absent_heat,100000,1,0,0,4237800,0,721308104706882717
gas_clear_absent_heat,100000,2,0,0,4232400,0,721308104706882717
gas_clear_absent_heat,100000,3,0,0,4557600,0,721308104706882717
