case,copies,recycled,round,implementation,allocations,allocated_bytes,elapsed_ns,state_hash,events
cold_vacuum,1000,false,1,sequence,2008,988800,1352100,a5d1aa21547a49dc,0
cold_vacuum,1000,false,1,fused,8,652800,392200,a5d1aa21547a49dc,0
cold_vacuum,1000,false,2,sequence,2008,988800,1290000,a5d1aa21547a49dc,0
cold_vacuum,1000,false,2,fused,8,652800,325400,a5d1aa21547a49dc,0
cold_vacuum,1000,false,3,sequence,2008,988800,1102100,a5d1aa21547a49dc,0
cold_vacuum,1000,false,3,fused,8,652800,388800,a5d1aa21547a49dc,0
cold_vacuum,1000,true,1,sequence,2000,336000,430400,4ecab679283199e0,0
cold_vacuum,1000,true,1,fused,0,0,93000,4ecab679283199e0,0
cold_vacuum,1000,true,2,sequence,2000,336000,534300,4ecab679283199e0,0
cold_vacuum,1000,true,2,fused,0,0,115100,4ecab679283199e0,0
cold_vacuum,1000,true,3,sequence,2000,336000,296600,4ecab679283199e0,0
cold_vacuum,1000,true,3,fused,0,0,48400,4ecab679283199e0,0
warm_gas,1000,false,1,sequence,2008,988800,404100,204c4af1629738b0,0
warm_gas,1000,false,1,fused,8,652800,257100,204c4af1629738b0,0
warm_gas,1000,false,2,sequence,2008,988800,675900,204c4af1629738b0,0
warm_gas,1000,false,2,fused,8,652800,124100,204c4af1629738b0,0
warm_gas,1000,false,3,sequence,2008,988800,511100,204c4af1629738b0,0
warm_gas,1000,false,3,fused,8,652800,92600,204c4af1629738b0,0
warm_gas,1000,true,1,sequence,2000,336000,495800,baaa6d6c5e8ff0ec,0
warm_gas,1000,true,1,fused,0,0,82100,baaa6d6c5e8ff0ec,0
warm_gas,1000,true,2,sequence,2000,336000,490900,baaa6d6c5e8ff0ec,0
warm_gas,1000,true,2,fused,0,0,82300,baaa6d6c5e8ff0ec,0
warm_gas,1000,true,3,sequence,2000,336000,483900,baaa6d6c5e8ff0ec,0
warm_gas,1000,true,3,fused,0,0,74900,baaa6d6c5e8ff0ec,0
custom_volume_immutable_source,1000,false,1,sequence,2008,988800,698900,4b30655489815eb0,0
custom_volume_immutable_source,1000,false,1,fused,8,652800,704800,4b30655489815eb0,0
custom_volume_immutable_source,1000,false,2,sequence,2008,988800,1084100,4b30655489815eb0,0
custom_volume_immutable_source,1000,false,2,fused,8,652800,226500,4b30655489815eb0,0
custom_volume_immutable_source,1000,false,3,sequence,2008,988800,788800,4b30655489815eb0,0
custom_volume_immutable_source,1000,false,3,fused,8,652800,409700,4b30655489815eb0,0
custom_volume_immutable_source,1000,true,1,sequence,2000,336000,666700,b6d1592dc06153fc,0
custom_volume_immutable_source,1000,true,1,fused,0,0,85700,b6d1592dc06153fc,0
custom_volume_immutable_source,1000,true,2,sequence,2000,336000,336600,b6d1592dc06153fc,0
custom_volume_immutable_source,1000,true,2,fused,0,0,41600,b6d1592dc06153fc,0
custom_volume_immutable_source,1000,true,3,sequence,2000,336000,684300,b6d1592dc06153fc,0
custom_volume_immutable_source,1000,true,3,fused,0,0,84200,b6d1592dc06153fc,0
negative_zero_volume,1000,false,1,sequence,2008,988800,991800,1382ba6631d4754c,0
negative_zero_volume,1000,false,1,fused,8,652800,345800,1382ba6631d4754c,0
negative_zero_volume,1000,false,2,sequence,2008,988800,950000,1382ba6631d4754c,0
negative_zero_volume,1000,false,2,fused,8,652800,450800,1382ba6631d4754c,0
negative_zero_volume,1000,false,3,sequence,2008,988800,953000,1382ba6631d4754c,0
negative_zero_volume,1000,false,3,fused,8,652800,351800,1382ba6631d4754c,0
negative_zero_volume,1000,true,1,sequence,2000,336000,648000,0135b2f1c8e6bdb0,0
negative_zero_volume,1000,true,1,fused,0,0,106700,0135b2f1c8e6bdb0,0
negative_zero_volume,1000,true,2,sequence,2000,336000,748700,0135b2f1c8e6bdb0,0
negative_zero_volume,1000,true,2,fused,0,0,112800,0135b2f1c8e6bdb0,0
negative_zero_volume,1000,true,3,sequence,2000,336000,401500,0135b2f1c8e6bdb0,0
negative_zero_volume,1000,true,3,fused,0,0,51500,0135b2f1c8e6bdb0,0
cold_vacuum,10000,false,1,sequence,20012,13843200,9357000,06e68e1dd53ee990,0
cold_vacuum,10000,false,1,fused,12,10483200,4147900,06e68e1dd53ee990,0
cold_vacuum,10000,false,2,sequence,20012,13843200,8504600,06e68e1dd53ee990,0
cold_vacuum,10000,false,2,fused,12,10483200,4270100,06e68e1dd53ee990,0
cold_vacuum,10000,false,3,sequence,20012,13843200,7954200,06e68e1dd53ee990,0
cold_vacuum,10000,false,3,fused,12,10483200,4730400,06e68e1dd53ee990,0
cold_vacuum,10000,true,1,sequence,20000,3360000,4977400,bd983abbcd9fa69c,0
cold_vacuum,10000,true,1,fused,0,0,1034400,bd983abbcd9fa69c,0
cold_vacuum,10000,true,2,sequence,20000,3360000,6188800,bd983abbcd9fa69c,0
cold_vacuum,10000,true,2,fused,0,0,1148700,bd983abbcd9fa69c,0
cold_vacuum,10000,true,3,sequence,20000,3360000,4936700,bd983abbcd9fa69c,0
cold_vacuum,10000,true,3,fused,0,0,951600,bd983abbcd9fa69c,0
warm_gas,10000,false,1,sequence,20012,13843200,11278600,2e97a68a5bd3a94c,0
warm_gas,10000,false,1,fused,12,10483200,4685600,2e97a68a5bd3a94c,0
warm_gas,10000,false,2,sequence,20012,13843200,12065800,2e97a68a5bd3a94c,0
warm_gas,10000,false,2,fused,12,10483200,3905600,2e97a68a5bd3a94c,0
warm_gas,10000,false,3,sequence,20012,13843200,11051100,2e97a68a5bd3a94c,0
warm_gas,10000,false,3,fused,12,10483200,5337000,2e97a68a5bd3a94c,0
warm_gas,10000,true,1,sequence,20000,3360000,5838600,f522079bde7bcae8,0
warm_gas,10000,true,1,fused,0,0,1497800,f522079bde7bcae8,0
warm_gas,10000,true,2,sequence,20000,3360000,5037700,f522079bde7bcae8,0
warm_gas,10000,true,2,fused,0,0,845600,f522079bde7bcae8,0
warm_gas,10000,true,3,sequence,20000,3360000,4454100,f522079bde7bcae8,0
warm_gas,10000,true,3,fused,0,0,547400,f522079bde7bcae8,0
custom_volume_immutable_source,10000,false,1,sequence,20012,13843200,9834000,b863dca1381ae1cc,0
custom_volume_immutable_source,10000,false,1,fused,12,10483200,4788900,b863dca1381ae1cc,0
custom_volume_immutable_source,10000,false,2,sequence,20012,13843200,9231900,b863dca1381ae1cc,0
custom_volume_immutable_source,10000,false,2,fused,12,10483200,4550800,b863dca1381ae1cc,0
custom_volume_immutable_source,10000,false,3,sequence,20012,13843200,9238300,b863dca1381ae1cc,0
custom_volume_immutable_source,10000,false,3,fused,12,10483200,4340400,b863dca1381ae1cc,0
custom_volume_immutable_source,10000,true,1,sequence,20000,3360000,5871400,20a00a9d57f63798,0
custom_volume_immutable_source,10000,true,1,fused,0,0,912200,20a00a9d57f63798,0
custom_volume_immutable_source,10000,true,2,sequence,20000,3360000,6634100,20a00a9d57f63798,0
custom_volume_immutable_source,10000,true,2,fused,0,0,1026200,20a00a9d57f63798,0
custom_volume_immutable_source,10000,true,3,sequence,20000,3360000,3378100,20a00a9d57f63798,0
custom_volume_immutable_source,10000,true,3,fused,0,0,625200,20a00a9d57f63798,0
negative_zero_volume,10000,false,1,sequence,20012,13843200,9173700,226c9d99d5ba6d08,0
negative_zero_volume,10000,false,1,fused,12,10483200,4162100,226c9d99d5ba6d08,0
negative_zero_volume,10000,false,2,sequence,20012,13843200,9084800,226c9d99d5ba6d08,0
negative_zero_volume,10000,false,2,fused,12,10483200,4654800,226c9d99d5ba6d08,0
negative_zero_volume,10000,false,3,sequence,20012,13843200,9368500,226c9d99d5ba6d08,0
negative_zero_volume,10000,false,3,fused,12,10483200,4881200,226c9d99d5ba6d08,0
negative_zero_volume,10000,true,1,sequence,20000,3360000,6502400,0a071cd4c132857c,0
negative_zero_volume,10000,true,1,fused,0,0,1012900,0a071cd4c132857c,0
negative_zero_volume,10000,true,2,sequence,20000,3360000,6707100,0a071cd4c132857c,0
negative_zero_volume,10000,true,2,fused,0,0,1029200,0a071cd4c132857c,0
negative_zero_volume,10000,true,3,sequence,20000,3360000,7990400,0a071cd4c132857c,0
negative_zero_volume,10000,true,3,fused,0,0,1044500,0a071cd4c132857c,0
cold_vacuum,100000,false,1,sequence,200015,117483520,84147000,b6b3859469592f6e,0
cold_vacuum,100000,false,1,fused,15,83883520,42439300,b6b3859469592f6e,0
cold_vacuum,100000,false,2,sequence,200015,117483520,75744200,b6b3859469592f6e,0
cold_vacuum,100000,false,2,fused,15,83883520,38302300,b6b3859469592f6e,0
cold_vacuum,100000,false,3,sequence,200015,117483520,76411800,b6b3859469592f6e,0
cold_vacuum,100000,false,3,fused,15,83883520,44245500,b6b3859469592f6e,0
cold_vacuum,100000,true,1,sequence,200000,33600000,50903700,502c880cb696225a,0
cold_vacuum,100000,true,1,fused,0,0,10913400,502c880cb696225a,0
cold_vacuum,100000,true,2,sequence,200000,33600000,51641400,502c880cb696225a,0
cold_vacuum,100000,true,2,fused,0,0,9206100,502c880cb696225a,0
cold_vacuum,100000,true,3,sequence,200000,33600000,57614700,502c880cb696225a,0
cold_vacuum,100000,true,3,fused,0,0,10193200,502c880cb696225a,0
warm_gas,100000,false,1,sequence,200015,117483520,84622000,3315c095a0aaf8ce,0
warm_gas,100000,false,1,fused,15,83883520,41216000,3315c095a0aaf8ce,0
warm_gas,100000,false,2,sequence,200015,117483520,78767300,3315c095a0aaf8ce,0
warm_gas,100000,false,2,fused,15,83883520,36772200,3315c095a0aaf8ce,0
warm_gas,100000,false,3,sequence,200015,117483520,89981600,3315c095a0aaf8ce,0
warm_gas,100000,false,3,fused,15,83883520,38673800,3315c095a0aaf8ce,0
